modo_transporte,tipo_combustible,valor
Air,Gasoline_2010,25.3
Water,Gasoline_2010,197.3
Pipeline,Gasoline_2010,0
Rail,Gasoline_2010,0
HIGHWAY ,Diesel_fuel_2010,6077.8
Light vehicles,Diesel_fuel_2010,403.4
Buses,Diesel_fuel_2010,162.3
Medium/heavy trucks,Diesel_fuel_2010,5512.2
NONHIGHWAY,Diesel_fuel_2010,799.9
Air,Diesel_fuel_2010,0
Water,Diesel_fuel_2010,290.1
Pipeline,Diesel_fuel_2010,0
Rail,Diesel_fuel_2010,509.8
HIGHWAY ,Liquified_petroleum_gas_2010,67.5
Light vehicles,Liquified_petroleum_gas_2010,47
Buses,Liquified_petroleum_gas_2010,0
Medium/heavy trucks,Liquified_petroleum_gas_2010,20.5
NONHIGHWAY,Liquified_petroleum_gas_2010,0
Air,Liquified_petroleum_gas_2010,0
Water,Liquified_petroleum_gas_2010,887
Pipeline,Liquified_petroleum_gas_2010,0
Rail,Liquified_petroleum_gas_2010,0
HIGHWAY ,Jet_fuel_2010,0
Light vehicles,Jet_fuel_2010,0
Buses,Jet_fuel_2010,19.6
Medium/heavy trucks,Jet_fuel_2010,0
NONHIGHWAY,Jet_fuel_2010,2122.4
Air,Jet_fuel_2010,2122.4
Water,Jet_fuel_2010,1374.4
Pipeline,Jet_fuel_2010,0
Rail,Jet_fuel_2010,0
HIGHWAY ,Residual_fuel_oil_2010,0
Light vehicles,Residual_fuel_oil_2010,0
Buses,Residual_fuel_oil_2010,0.7
Medium/heavy trucks,Residual_fuel_oil_2010,0
NONHIGHWAY,Residual_fuel_oil_2010,887
Air,Residual_fuel_oil_2010,0
Water,Residual_fuel_oil_2010,0
Pipeline,Residual_fuel_oil_2010,0
Rail,Residual_fuel_oil_2010,0
HIGHWAY ,Natural_gas_2010,19.6
Light vehicles,Natural_gas_2010,16261.8
Buses,Natural_gas_2010,190.2
Medium/heavy trucks,Natural_gas_2010,0
NONHIGHWAY,Natural_gas_2010,689.6
Air,Natural_gas_2010,0
Water,Natural_gas_2010,0
Pipeline,Natural_gas_2010,689.6
Rail,Natural_gas_2010,0
HIGHWAY ,Electricity_2010,0.7
Light vehicles,Electricity_2010,0
Buses,Electricity_2010,0
Medium/heavy trucks,Electricity_2010,0
NONHIGHWAY,Electricity_2010,314.6
Air,Electricity_2010,0
Water,Electricity_2010,0
Pipeline,Electricity_2010,243.4
Rail,Electricity_2010,71.2
HIGHWAY ,Total_2010,22602.9
Light vehicles,Total_2010,0
Buses,Total_2010,0
Medium/heavy trucks,Total_2010,6150.9
NONHIGHWAY,Total_2010,5036.1
Air,Total_2010,2147.6
Water,Total_2010,0
Pipeline,Total_2010,933
Rail,Total_2010,581
HIGHWAY ,Gasoline_2011,15978.9
Light vehicles,Gasoline_2011,15388.4
Buses,Gasoline_2011,7.8
Medium/heavy trucks,Gasoline_2011,582.7
NONHIGHWAY,Gasoline_2011,221.8
Air,Gasoline_2011,25.9
Water,Gasoline_2011,195.9
Pipeline,Gasoline_2011,0
Rail,Gasoline_2011,0
HIGHWAY ,Diesel_fuel_2011,5751.1
Light vehicles,Diesel_fuel_2011,389.5
Buses,Diesel_fuel_2011,165.9
Medium/heavy trucks,Diesel_fuel_2011,5195.8
NONHIGHWAY,Diesel_fuel_2011,949.5
Air,Diesel_fuel_2011,0
Water,Diesel_fuel_2011,412.8
Pipeline,Diesel_fuel_2011,0
Rail,Diesel_fuel_2011,536.6
HIGHWAY ,Liquified_petroleum_gas_2011,64.6
Light vehicles,Liquified_petroleum_gas_2011,45.2
Buses,Liquified_petroleum_gas_2011,0
Medium/heavy trucks,Liquified_petroleum_gas_2011,19.3
NONHIGHWAY,Liquified_petroleum_gas_2011,0
Air,Liquified_petroleum_gas_2011,0
Water,Liquified_petroleum_gas_2011,779.4
Pipeline,Liquified_petroleum_gas_2011,0
Rail,Liquified_petroleum_gas_2011,0
HIGHWAY ,Jet_fuel_2011,0
Light vehicles,Jet_fuel_2011,0
Buses,Jet_fuel_2011,20.2
Medium/heavy trucks,Jet_fuel_2011,0
NONHIGHWAY,Jet_fuel_2011,2136.2
Air,Jet_fuel_2011,2136.2
Water,Jet_fuel_2011,1388.1
Pipeline,Jet_fuel_2011,0
Rail,Jet_fuel_2011,0
HIGHWAY ,Residual_fuel_oil_2011,0
Light vehicles,Residual_fuel_oil_2011,0
Buses,Residual_fuel_oil_2011,0.6
Medium/heavy trucks,Residual_fuel_oil_2011,0
NONHIGHWAY,Residual_fuel_oil_2011,779.4
Air,Residual_fuel_oil_2011,0
Water,Residual_fuel_oil_2011,0
Pipeline,Residual_fuel_oil_2011,0
Rail,Residual_fuel_oil_2011,0
HIGHWAY ,Natural_gas_2011,20.2
Light vehicles,Natural_gas_2011,15823.1
Buses,Natural_gas_2011,194.4
Medium/heavy trucks,Natural_gas_2011,0
NONHIGHWAY,Natural_gas_2011,704.9
Air,Natural_gas_2011,0
Water,Natural_gas_2011,0
Pipeline,Natural_gas_2011,704.9
Rail,Natural_gas_2011,0
HIGHWAY ,Electricity_2011,0.6
Light vehicles,Electricity_2011,0
Buses,Electricity_2011,0
Medium/heavy trucks,Electricity_2011,0
NONHIGHWAY,Electricity_2011,316.6
Air,Electricity_2011,0
Water,Electricity_2011,0
Pipeline,Electricity_2011,244.1
Rail,Electricity_2011,72.5
HIGHWAY ,Total_2011,21815.3
Light vehicles,Total_2011,0
Buses,Total_2011,0
Medium/heavy trucks,Total_2011,5797.8
NONHIGHWAY,Total_2011,5108.4
Air,Total_2011,2162.1
Water,Total_2011,0
Pipeline,Total_2011,949
Rail,Total_2011,609.1
HIGHWAY ,Gasoline_2012,15493.3
Light vehicles,Gasoline_2012,14904.2
Buses,Gasoline_2012,8.7
Medium/heavy trucks,Gasoline_2012,580.4
NONHIGHWAY,Gasoline_2012,222
Air,Gasoline_2012,27.4
Water,Gasoline_2012,194.7
Pipeline,Gasoline_2012,0
Rail,Gasoline_2012,0
HIGHWAY ,Diesel_fuel_2012,5755.4
Light vehicles,Diesel_fuel_2012,408.5
Buses,Diesel_fuel_2012,171.1
Medium/heavy trucks,Diesel_fuel_2012,5175.8
NONHIGHWAY,Diesel_fuel_2012,831.7
Air,Diesel_fuel_2012,0
Water,Diesel_fuel_2012,305.9
Pipeline,Diesel_fuel_2012,0
Rail,Diesel_fuel_2012,525.9
HIGHWAY ,Liquified_petroleum_gas_2012,67.8
Light vehicles,Liquified_petroleum_gas_2012,48.5
Buses,Liquified_petroleum_gas_2012,0
Medium/heavy trucks,Liquified_petroleum_gas_2012,19.3
NONHIGHWAY,Liquified_petroleum_gas_2012,0
Air,Liquified_petroleum_gas_2012,0
Water,Liquified_petroleum_gas_2012,686.8
Pipeline,Liquified_petroleum_gas_2012,0
Rail,Liquified_petroleum_gas_2012,0
HIGHWAY ,Jet_fuel_2012,0
Light vehicles,Jet_fuel_2012,0
Buses,Jet_fuel_2012,19.4
Medium/heavy trucks,Jet_fuel_2012,0
NONHIGHWAY,Jet_fuel_2012,2064.5
Air,Jet_fuel_2012,2064.5
Water,Jet_fuel_2012,1187.4
Pipeline,Jet_fuel_2012,0
Rail,Jet_fuel_2012,0
HIGHWAY ,Residual_fuel_oil_2012,0
Light vehicles,Residual_fuel_oil_2012,0
Buses,Residual_fuel_oil_2012,0.6
Medium/heavy trucks,Residual_fuel_oil_2012,0
NONHIGHWAY,Residual_fuel_oil_2012,686.8
Air,Residual_fuel_oil_2012,0
Water,Residual_fuel_oil_2012,0
Pipeline,Residual_fuel_oil_2012,0
Rail,Residual_fuel_oil_2012,0
HIGHWAY ,Natural_gas_2012,19.4
Light vehicles,Natural_gas_2012,15361.2
Buses,Natural_gas_2012,199.8
Medium/heavy trucks,Natural_gas_2012,0
NONHIGHWAY,Natural_gas_2012,750.7
Air,Natural_gas_2012,0
Water,Natural_gas_2012,0
Pipeline,Natural_gas_2012,750.7
Rail,Natural_gas_2012,0
HIGHWAY ,Electricity_2012,0.6
Light vehicles,Electricity_2012,0
Buses,Electricity_2012,0
Medium/heavy trucks,Electricity_2012,0
NONHIGHWAY,Electricity_2012,318.2
Air,Electricity_2012,0
Water,Electricity_2012,0
Pipeline,Electricity_2012,246.2
Rail,Electricity_2012,72
HIGHWAY ,Total_2012,21336.6
Light vehicles,Total_2012,0
Buses,Total_2012,0
Medium/heavy trucks,Total_2012,5775.5
NONHIGHWAY,Total_2012,4874
Air,Total_2012,2091.9
Water,Total_2012,0
Pipeline,Total_2012,997
Rail,Total_2012,597.8
HIGHWAY ,Gasoline_2013,15335
Light vehicles,Gasoline_2013,14730.7
Buses,Gasoline_2013,8.9
Medium/heavy trucks,Gasoline_2013,595.3
NONHIGHWAY,Gasoline_2013,214.6
Air,Gasoline_2013,20.9
Water,Gasoline_2013,193.8
Pipeline,Gasoline_2013,0
Rail,Gasoline_2013,0
HIGHWAY ,Diesel_fuel_2013,5885.8
Light vehicles,Diesel_fuel_2013,403.4
Buses,Diesel_fuel_2013,173.7
Medium/heavy trucks,Diesel_fuel_2013,5308.7
NONHIGHWAY,Diesel_fuel_2013,818.2
Air,Diesel_fuel_2013,0
